domain,lead_type,sales_stage,sales_readiness,outreach_priority,outreach_level,primary_email,primary_phone,normalized_phone,email_confidence,phone_confidence,phone_region_score,phone_reason,contact_quality_score,crm_status,recommended_pitch
northernalbertafunerals.com,Digital Transformation Candidate,Sales Qualified Lead,75,36.8,,chapelpr@cofm.ca,780-624-2686,+17806242686,15,100,100,"Valid NANP phone number, Alberta area code",70.25,Needs Verification,High-value digital conversion upgrade with partnership opportunity
legacyfuneralhome.ca,Digital Transformation Candidate,Nurture Candidate,60,33.1,,,403-653-3222,+14036533222,0,100,100,"Valid NANP phone number, Alberta area code",65.0,Needs Verification,"Online arrangement system, lead capture, and consultation improvements"
connelly-mckinley.com,Conversion Improvement Candidate,Research Required,45,32.7,,info@connelly-mckinley.com,780-758-4433,+17807584433,100,100,100,"Valid NANP phone number, Alberta area code",100.0,Ready For Outreach,High-value digital conversion upgrade with partnership opportunity
westlockfuneralhome.com,Digital Transformation Candidate,Nurture Candidate,55,31.9,,,780) 349-3474,+17803493474,0,100,100,"Valid NANP phone number, Alberta area code",65.0,Needs Verification,High-value digital conversion upgrade with partnership opportunity
northernlightsfs.ca,Digital Transformation Candidate,Nurture Candidate,55,30.7,,,780) 826-6083,+17808266083,0,100,100,"Valid NANP phone number, Alberta area code",65.0,Needs Verification,"Online arrangement system, lead capture, and consultation improvements"
rockyfuneralhome.ca,Digital Transformation Candidate,Nurture Candidate,55,30.6,,,403) 845-2626,+14038452626,0,100,100,"Valid NANP phone number, Alberta area code",65.0,Needs Verification,"Online arrangement system, lead capture, and consultation improvements"
cochranecountryfuneral.ca,Digital Transformation Candidate,Nurture Candidate,65,30.5,,,403-955-8011,+14039558011,0,100,100,"Valid NANP phone number, Alberta area code",65.0,Needs Verification,High-value digital conversion upgrade with partnership opportunity
southlandfuneral.com,Digital Transformation Candidate,Nurture Candidate,65,29.6,,scott@southlandfuneral.com,403) 223-8778,+14032238778,75,100,100,"Valid NANP phone number, Alberta area code",91.25,Ready For Outreach,Relationship building and future opportunity
tributearchive.com,Digital Transformation Candidate,Nurture Candidate,65,28.7,,,866-303-1880,+18663031880,0,34,20,"Valid NANP phone number, Non-local area code",17.9,Needs Verification,Relationship building and future opportunity
creechsfh.ca,Conversion Improvement Candidate,Nurture Candidate,55,27.6,,,780) 842-4211,+17808424211,0,100,100,"Valid NANP phone number, Alberta area code",65.0,Needs Verification,Relationship building and future opportunity
serenity.ca,Conversion Improvement Candidate,Research Required,35,27.3,,info@serenity.ca,780) 998-1423,+17809981423,100,100,100,"Valid NANP phone number, Alberta area code",100.0,Ready For Outreach,Grief education seminars and funeral industry community partnership
prairierosefunerals.ca,Digital Transformation Candidate,Research Required,45,27.3,,,14032165111,+14032165111,0,93,100,"Valid NANP phone number, Alberta area code",62.55,Needs Verification,Relationship building and future opportunity
parklandfuneralhome.com,Conversion Improvement Candidate,Research Required,45,27.1,,,403.340.4040,+14033404040,0,100,100,"Valid NANP phone number, Alberta area code",65.0,Needs Verification,Relationship building and future opportunity
heartlandfuneralservices.com,Conversion Improvement Candidate,Research Required,45,26.8,,rcl@rcl105.ca,403.638.4393,+14036384393,15,100,100,"Valid NANP phone number, Alberta area code",70.25,Needs Verification,Relationship building and future opportunity
sunsetltd.ca,Conversion Improvement Candidate,Research Required,35,26.1,,info@sunsetltd.ca,403) 546-4428,+14035464428,100,100,100,"Valid NANP phone number, Alberta area code",100.0,Ready For Outreach,Grief education seminars and funeral industry community partnership
mhfh.com,Low Priority / Maintenance,Research Required,35,25.8,,info@mhfh.com,780-488-7195,+17804887195,100,100,100,"Valid NANP phone number, Alberta area code",100.0,Ready For Outreach,Grief education seminars and funeral industry community partnership
parkmemorial.com,Conversion Improvement Candidate,Research Required,45,25.5,,info@parkmemorial.com,780-895-2157,+17808952157,100,100,100,"Valid NANP phone number, Alberta area code",100.0,Ready For Outreach,Grief education seminars and funeral industry community partnership
sfh.ca,Conversion Improvement Candidate,Research Required,45,24.7,,kelly@sfh.ca,403.501.9106,+14035019106,75,100,100,"Valid NANP phone number, Alberta area code",91.25,Ready For Outreach,Relationship building and future opportunity
